Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,,,,,,,,,,108.0,519.0,145.0,686.0,676.2,397.0,-223.1,480.3,540.7,1383.0,2179.6,-47.5,-274.4
China,,,,,,,,0.0,0.08,163.56,159.11,162.24,266.64,-25.12,64.95,1623.33,2760.58,3934.67,2400.03,3383.52,37815.28,10861.34
Chinese Taipei,,,,,,,,,,,,,,,,,,-0.7,267.4,28.8,202.8,1151.3
Denmark,-0.82,267.91,393.47,146.01,-2.72,-68.44,146.86,-44.52,349.3,1416.29,712.54,67.14,879.34,814.34,-332.74,-182.66,529.74,-549.63,1567.43,405.52,989.75,1159.96
Finland,,,,,,,,,,,5.57,0.67,-0.16,0.0,6.14,-3.75,89.84,135.9,32.89,34.34,-38.18,5.33
Germany,,,,,,,,,,138.0,401.0,155.0,186.0,553.0,6813.0,3990.0,5401.0,1792.0,5277.0,2562.0,-2932.0,750.0
Ireland,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-14.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,,,,0.0,0.0,0.0,17.5,0.0,0.0,24.5,0.0,0.18,42.7,0.0,5.77,12.25,0.0,0.0,0.0,0.0,0.0,0.0
Korea,,,,,,,,,,,,,0.53,8.81,-2.14,49.34,20.48,51.76,-7.15,129.56,-7.21,-17.64
Netherlands,,,,,,,261.35,266.42,138.83,-56.17,123.11,-12.48,-18.17,-22.69,381.51,1139.08,1430.52,-69.32,-57.33,1910.68,2468.68,62.37
Norway,,,,,,,,,,0.0,1.0,-1.0,0.0,1.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,,,,,,,,,,,,3.31,1.18,-0.9,0.8,,,,,,0.2,26.74
Spain,,,,,,,,,,,,,,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,35.91,17.52,0.0,-24.59,6.0,-7.0,52.0,260.0,15.0,38.0,65.0,-28.0,11.0,201.0,45.0,-106.0,62.0,-120.0,56.0,27.0,-86.0,3.0
United Kingdom,4.0,0.0,5.0,189.0,204.0,248.0,132.0,552.0,419.0,1305.67,2089.36,2454.14,3868.61,1932.81,4018.15,-1017.0,4510.18,5609.28,5449.95,8705.94,-5171.55,9510.33
United States,,,,,,,,,,,,,,,0.08,102.49,0.0,0.0,0.0,42.05,0.0,0.0
Viet Nam,,,,,,,,,,,,,,0.0,195.49,0.48,-52.1,91.32,-29.96,-21.01,390.74,1045.3
