Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.24,0.16,0.0,-9.4,0.0,-2.0,3.0,5.0
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,14.36,24.05,4.54,-5.51,2.94,-5.74,-8.05,-19.64,-5.12,-11.48,33.65,763.0,185.0,-387.91,-26.09,-45.0,63.68,801.32,3583.87,4415.46,3527.55,1228.12
Armenia,0.0,0.0,0.0,0.0,0.0,2.6,0.3,-1.0,2.4,2.7,-1.4,-1.5,-0.3,0.2,-0.3,-1.9,0.3,-0.2,1.4,-1.4,-0.4,0.3
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.64,89.52,6.08,21.96,14.79,6.62,10.81,-33.25,-2.18,0.0,0.0,0.0,0.0,0.0
Australia,152.0,154.0,339.0,2.0,180.0,828.0,898.0,482.0,731.0,1228.0,1033.0,885.0,990.0,2292.0,1215.0,732.0,398.0,2567.0,2548.0,2684.0,4139.0,4573.0
Austria,37.9,35.17,232.46,561.35,397.65,421.51,284.4,-25.93,-57.22,109.87,-127.71,526.66,689.57,693.25,994.64,394.52,1336.67,-541.08,1419.65,-658.55,-51.49,505.09
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,-1.6,-0.5,0.0,0.8,1.54,2.26,18.16,-0.66,60.6,22.7,-9.3,-4.7,-8.1
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.79,0.79,0.87,0.88,0.0,0.0,0.0,0.0,0.0,0.88,0.87,0.0,0.0,0.0,0.0,0.0,0.0
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,0.0,0.29,0.08,-0.03,-0.14,-0.01,0.14,-0.01,-0.27,0.02,0.2,4.96,1.66,3.2,15.3,48.39,22.22,2.31,78.5,16.19,-21.0,3.6
Belgium,21.0,20.0,31.0,54.0,85.0,139.0,125.0,146.0,359.0,296.0,1020.0,447.3,905.7,950.3,958.7,-154.5,1101.2,1053.4,2181.3,3063.2,-821.0,355.0
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.41,0.03,-1.14,1.11,-0.72,0.04
