geo,2022S1
Austria,0.0767
Belgium,0.0939
Bosnia and Herz.,0.0438
Bulgaria,0.0764
Croatia,0.0412
Czech Rep.,0.101
Denmark,0.16
EU27,0.0861
Estonia,0.1106
Euro area,0.0908
France,0.085
Georgia,0.0151
Germany,0.0806
Greece,0.0821
Hungary,0.0291
Ireland,0.0847
Italy,0.0986
Latvia,0.0462
Liechtenstein,0.1128
Lithuania,0.0587
Luxembourg,0.0856
Moldova,0.0842
Netherlands,0.1293
North Macedonia,0.121
Poland,0.0549
Portugal,0.0837
Romania,0.0611
Serbia,0.0336
Slovakia,0.0488
Slovenia,0.0691
Spain,0.0897
Sweden,0.2216
Turkey,0.017
Ukraine,
United Kingdom,
